modelo,modelo_nombre,target,target_descripcion,variable,tipo_importancia,importancia,importancia_relativa_top
logistic_regression,Regresion logistica,riesgo_retraso_potencial,Riesgo de retraso academico potencial,zona_ordinaria,valor_absoluto_coeficiente,0.9449882269523664,0.0167981784270514
logistic_regression,Regresion logistica,riesgo_retraso_potencial,Riesgo de retraso academico potencial,curso_obligatorio,valor_absoluto_coeficiente,0.6439706948576495,0.0114472692097955
logistic_regression,Regresion logistica,riesgo_retraso_potencial,Riesgo de retraso academico potencial,componente_practico,valor_absoluto_coeficiente,0.5871327106564207,0.0104369131304131
logistic_regression,Regresion logistica,riesgo_retraso_potencial,Riesgo de retraso academico potencial,tipo_curso_configurado,valor_absoluto_coeficiente,0.5871327106563813,0.0104369131304123
logistic_regression,Regresion logistica,riesgo_retraso_potencial,Riesgo de retraso academico potencial,semestre_pensum,valor_absoluto_coeficiente,0.4397070803286069,0.0078162645632304
logistic_regression,Regresion logistica,riesgo_retraso_potencial,Riesgo de retraso academico potencial,cohorte_ingreso,valor_absoluto_coeficiente,0.383766064112829,0.0068218530510216
logistic_regression,Regresion logistica,riesgo_retraso_potencial,Riesgo de retraso academico potencial,requiere_laboratorio,valor_absoluto_coeficiente,0.2735707413883043,0.0048630130992024
logistic_regression,Regresion logistica,riesgo_retraso_potencial,Riesgo de retraso academico potencial,cupo_ofertado_oferta,valor_absoluto_coeficiente,0.0844211392669612,0.0015006762200571
logistic_regression,Regresion logistica,riesgo_retraso_potencial,Riesgo de retraso academico potencial,tasa_ocupacion_cupo,valor_absoluto_coeficiente,0.0350614544447903,0.000623254926228
logistic_regression,Regresion logistica,riesgo_retraso_potencial,Riesgo de retraso academico potencial,cantidad_cursos_dependientes,valor_absoluto_coeficiente,0.0208264347041228,0.0003702121954338
logistic_regression,Regresion logistica,riesgo_retraso_potencial_amplio,Riesgo potencial amplio,codigo_curso,valor_absoluto_coeficiente,47.64001307439801,0.7786780407731098
logistic_regression,Regresion logistica,riesgo_retraso_potencial_amplio,Riesgo potencial amplio,periodo_academico,valor_absoluto_coeficiente,5.865592449657526,0.0958733581693204
logistic_regression,Regresion logistica,riesgo_retraso_potencial_amplio,Riesgo potencial amplio,area_academica,valor_absoluto_coeficiente,2.8701550594580696,0.0469128065713084
logistic_regression,Regresion logistica,riesgo_retraso_potencial_amplio,Riesgo potencial amplio,zona_ordinaria,valor_absoluto_coeficiente,0.9338108774120768,0.0152631785247477
logistic_regression,Regresion logistica,riesgo_retraso_potencial_amplio,Riesgo potencial amplio,curso_base,valor_absoluto_coeficiente,0.6083832007311941,0.0099440493025226
logistic_regression,Regresion logistica,riesgo_retraso_potencial_amplio,Riesgo potencial amplio,cantidad_cursos_dependientes,valor_absoluto_coeficiente,0.6008726839088026,0.0098212895854898
logistic_regression,Regresion logistica,riesgo_retraso_potencial_amplio,Riesgo potencial amplio,componente_practico,valor_absoluto_coeficiente,0.571507066278732,0.0093413073158257
logistic_regression,Regresion logistica,riesgo_retraso_potencial_amplio,Riesgo potencial amplio,tipo_curso_configurado,valor_absoluto_coeficiente,0.5029352456565164,0.0082204979900398
logistic_regression,Regresion logistica,riesgo_retraso_potencial_amplio,Riesgo potencial amplio,requiere_laboratorio,valor_absoluto_coeficiente,0.4097032599532222,0.0066966172167189
logistic_regression,Regresion logistica,riesgo_retraso_potencial_amplio,Riesgo potencial amplio,nivel_bloqueo_curricular,valor_absoluto_coeficiente,0.3411661260880017,0.0055763748474519
logistic_regression,Regresion logistica,riesgo_retraso_potencial_amplio,Riesgo potencial amplio,semestre_pensum,valor_absoluto_coeficiente,0.2617345617186861,0.0042780625480399
logistic_regression,Regresion logistica,riesgo_retraso_potencial_amplio,Riesgo potencial amplio,cohorte_ingreso,valor_absoluto_coeficiente,0.1991952267337881,0.0032558544566768
logistic_regression,Regresion logistica,riesgo_retraso_potencial_amplio,Riesgo potencial amplio,curso_obligatorio,valor_absoluto_coeficiente,0.1842958796382068,0.0030123239944356
logistic_regression,Regresion logistica,riesgo_retraso_potencial_amplio,Riesgo potencial amplio,cupo_ofertado_oferta,valor_absoluto_coeficiente,0.1111029363498496,0.0018159822220437
logistic_regression,Regresion logistica,riesgo_retraso_potencial_amplio,Riesgo potencial amplio,tasa_ocupacion_cupo,valor_absoluto_coeficiente,0.0801623170008855,0.0013102564822684
decision_tree,Arbol de decision,necesito_recuperacion,Necesidad observada de recuperacion,zona_ordinaria,importancia_gini,0.6594401481667498,0.6594401481667498
decision_tree,Arbol de decision,necesito_recuperacion,Necesidad observada de recuperacion,periodo_academico,importancia_gini,0.3214841649741828,0.3214841649741828
decision_tree,Arbol de decision,necesito_recuperacion,Necesidad observada de recuperacion,tasa_ocupacion_cupo,importancia_gini,0.0092593282806664,0.0092593282806664
decision_tree,Arbol de decision,necesito_recuperacion,Necesidad observada de recuperacion,componente_practico,importancia_gini,0.0075079309157206,0.0075079309157206
decision_tree,Arbol de decision,necesito_recuperacion,Necesidad observada de recuperacion,tipo_curso_configurado,importancia_gini,0.001722458900221,0.001722458900221
decision_tree,Arbol de decision,necesito_recuperacion,Necesidad observada de recuperacion,area_academica,importancia_gini,0.0005859687624592,0.0005859687624592
decision_tree,Arbol de decision,necesito_recuperacion,Necesidad observada de recuperacion,cantidad_cursos_dependientes,importancia_gini,0.0,0.0
decision_tree,Arbol de decision,necesito_recuperacion,Necesidad observada de recuperacion,curso_base,importancia_gini,0.0,0.0
decision_tree,Arbol de decision,necesito_recuperacion,Necesidad observada de recuperacion,cupo_ofertado_oferta,importancia_gini,0.0,0.0
decision_tree,Arbol de decision,necesito_recuperacion,Necesidad observada de recuperacion,cohorte_ingreso,importancia_gini,0.0,0.0
decision_tree,Arbol de decision,necesito_recuperacion,Necesidad observada de recuperacion,codigo_curso,importancia_gini,0.0,0.0
decision_tree,Arbol de decision,necesito_recuperacion,Necesidad observada de recuperacion,requiere_laboratorio,importancia_gini,0.0,0.0
decision_tree,Arbol de decision,necesito_recuperacion,Necesidad observada de recuperacion,nivel_bloqueo_curricular,importancia_gini,0.0,0.0
decision_tree,Arbol de decision,necesito_recuperacion,Necesidad observada de recuperacion,curso_obligatorio,importancia_gini,0.0,0.0
decision_tree,Arbol de decision,necesito_recuperacion,Necesidad observada de recuperacion,semestre_pensum,importancia_gini,0.0,0.0
decision_tree,Arbol de decision,perdida_definitiva,Perdida definitiva observada,zona_ordinaria,importancia_gini,0.906363806261314,0.906363806261314
decision_tree,Arbol de decision,perdida_definitiva,Perdida definitiva observada,periodo_academico,importancia_gini,0.0360404151944432,0.0360404151944432
decision_tree,Arbol de decision,perdida_definitiva,Perdida definitiva observada,tasa_ocupacion_cupo,importancia_gini,0.0309930391230633,0.0309930391230633
decision_tree,Arbol de decision,perdida_definitiva,Perdida definitiva observada,area_academica,importancia_gini,0.0179668290944353,0.0179668290944353
decision_tree,Arbol de decision,perdida_definitiva,Perdida definitiva observada,componente_practico,importancia_gini,0.0076758948222606,0.0076758948222606
decision_tree,Arbol de decision,perdida_definitiva,Perdida definitiva observada,tipo_curso_configurado,importancia_gini,0.0008876400307458,0.0008876400307458
decision_tree,Arbol de decision,perdida_definitiva,Perdida definitiva observada,cantidad_cursos_dependientes,importancia_gini,7.237547373659837e-05,7.237547373659838e-05
decision_tree,Arbol de decision,perdida_definitiva,Perdida definitiva observada,requiere_laboratorio,importancia_gini,7.806529665542359e-16,7.80652966554236e-16
decision_tree,Arbol de decision,perdida_definitiva,Perdida definitiva observada,semestre_pensum,importancia_gini,1.6861394124134595e-16,1.68613941241346e-16
decision_tree,Arbol de decision,perdida_definitiva,Perdida definitiva observada,cohorte_ingreso,importancia_gini,0.0,0.0
decision_tree,Arbol de decision,perdida_definitiva,Perdida definitiva observada,codigo_curso,importancia_gini,0.0,0.0
decision_tree,Arbol de decision,perdida_definitiva,Perdida definitiva observada,curso_base,importancia_gini,0.0,0.0
decision_tree,Arbol de decision,perdida_definitiva,Perdida definitiva observada,cupo_ofertado_oferta,importancia_gini,0.0,0.0
decision_tree,Arbol de decision,perdida_definitiva,Perdida definitiva observada,curso_obligatorio,importancia_gini,0.0,0.0
decision_tree,Arbol de decision,perdida_definitiva,Perdida definitiva observada,nivel_bloqueo_curricular,importancia_gini,0.0,0.0
decision_tree,Arbol de decision,riesgo_retraso_potencial,Riesgo de retraso academico potencial,zona_ordinaria,importancia_gini,0.2792490687898993,0.2792490687898992
decision_tree,Arbol de decision,riesgo_retraso_potencial,Riesgo de retraso academico potencial,curso_base,importancia_gini,0.2127241558024772,0.2127241558024771
decision_tree,Arbol de decision,riesgo_retraso_potencial,Riesgo de retraso academico potencial,nivel_bloqueo_curricular,importancia_gini,0.1736087121710727,0.1736087121710727
decision_tree,Arbol de decision,riesgo_retraso_potencial,Riesgo de retraso academico potencial,area_academica,importancia_gini,0.1286688566169374,0.1286688566169374
decision_tree,Arbol de decision,riesgo_retraso_potencial,Riesgo de retraso academico potencial,periodo_academico,importancia_gini,0.1105629047727036,0.1105629047727036
decision_tree,Arbol de decision,riesgo_retraso_potencial,Riesgo de retraso academico potencial,semestre_pensum,importancia_gini,0.0618119941668626,0.0618119941668626
decision_tree,Arbol de decision,riesgo_retraso_potencial,Riesgo de retraso academico potencial,codigo_curso,importancia_gini,0.0189724988531053,0.0189724988531053
decision_tree,Arbol de decision,riesgo_retraso_potencial,Riesgo de retraso academico potencial,cupo_ofertado_oferta,importancia_gini,0.0108322108820172,0.0108322108820172
decision_tree,Arbol de decision,riesgo_retraso_potencial,Riesgo de retraso academico potencial,tasa_ocupacion_cupo,importancia_gini,0.0027935485751939,0.0027935485751939
decision_tree,Arbol de decision,riesgo_retraso_potencial,Riesgo de retraso academico potencial,componente_practico,importancia_gini,0.0007760493697303,0.0007760493697303
decision_tree,Arbol de decision,riesgo_retraso_potencial,Riesgo de retraso academico potencial,cantidad_cursos_dependientes,importancia_gini,0.0,0.0
decision_tree,Arbol de decision,riesgo_retraso_potencial,Riesgo de retraso academico potencial,cohorte_ingreso,importancia_gini,0.0,0.0
decision_tree,Arbol de decision,riesgo_retraso_potencial,Riesgo de retraso academico potencial,curso_obligatorio,importancia_gini,0.0,0.0
decision_tree,Arbol de decision,riesgo_retraso_potencial,Riesgo de retraso academico potencial,requiere_laboratorio,importancia_gini,0.0,0.0
decision_tree,Arbol de decision,riesgo_retraso_potencial,Riesgo de retraso academico potencial,tipo_curso_configurado,importancia_gini,0.0,0.0
