k,inercia,silhouette,davies_bouldin,calinski_harabasz,k_seleccionado
2,673.1317783752098,0.3561577149209727,1.151095751251934,53.19077876460593,False
3,531.7529161748178,0.356499110811832,1.2075122320175766,44.84930391722568,False
4,405.150748629046,0.3852249624843156,1.098526374961963,47.74933430275724,False
5,335.452534489135,0.40756612736513775,1.0731354047286015,47.165044277280096,False
6,268.8354328581576,0.42343489094363934,0.9930865273857319,50.69110341259628,True
