codigo_curso,periodo_academico,semestre_pensum,area_academica,tipo_curso_configurado,requiere_laboratorio,componente_practico,curso_obligatorio,curso_base,cantidad_cursos_dependientes,nivel_bloqueo_curricular,cohorte_ingreso,zona_ordinaria,cupo_ofertado_oferta,tasa_ocupacion_cupo,curso_abierto_periodo_siguiente,curso_abierto_siguiente_periodo,necesito_recuperacion,perdida_definitiva,riesgo_retraso_potencial,riesgo_retraso_potencial_amplio
072,S1,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,1,medio,2024,51.0,45,0.8444444444444444,False,False,False,False,False,False
072,S1,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,1,medio,2024,49.0,45,0.8444444444444444,False,False,False,False,False,False
072,S1,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,1,medio,2024,45.0,45,0.8444444444444444,False,False,False,False,False,False
072,S1,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,1,medio,2024,56.0,45,0.8444444444444444,False,False,False,False,False,False
072,S1,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,1,medio,2024,56.0,45,0.8444444444444444,False,False,False,False,False,False
072,S1,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,1,medio,2024,37.0,45,0.8444444444444444,False,False,True,False,False,False
072,S1,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,1,medio,2024,39.0,45,0.8444444444444444,False,False,True,False,False,False
072,S1,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,1,medio,2024,51.0,45,0.8444444444444444,False,False,False,True,True,True
072,S1,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,1,medio,2024,45.0,45,0.8444444444444444,False,False,False,True,True,True
072,S1,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,1,medio,2024,49.0,45,0.8444444444444444,False,False,False,False,False,False
072,S1,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,1,medio,2024,49.0,45,0.8444444444444444,False,False,False,False,False,False
072,S1,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,1,medio,2024,33.0,45,0.8444444444444444,False,False,True,False,False,False
072,S1,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,1,medio,2024,66.0,45,0.8444444444444444,False,False,False,False,False,False
072,S1,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,1,medio,2024,39.0,45,0.8444444444444444,False,False,False,False,False,False
072,S1,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,1,medio,2024,58.0,45,0.8444444444444444,False,False,False,True,True,True
072,S1,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,1,medio,2024,66.0,45,0.8444444444444444,False,False,False,False,False,False
072,S1,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,1,medio,2024,33.0,45,0.8444444444444444,False,False,False,True,True,True
072,S1,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,1,medio,2024,40.0,45,0.8444444444444444,False,False,False,False,False,False
072,S1,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,1,medio,2024,42.0,45,0.8444444444444444,False,False,False,False,False,False
072,S1,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,1,medio,2024,49.0,45,0.8444444444444444,False,False,False,True,True,True
072,S1,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,1,medio,2024,42.0,45,0.8444444444444444,False,False,True,True,True,True
072,S1,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,1,medio,2024,62.0,45,0.8444444444444444,False,False,False,False,False,False
072,S1,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,1,medio,2024,39.0,45,0.8444444444444444,False,False,False,True,True,True
072,S1,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,1,medio,2024,33.0,45,0.8444444444444444,False,False,True,True,True,True
072,S1,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,1,medio,2024,43.0,45,0.8444444444444444,False,False,False,False,False,False
072,S1,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,1,medio,2024,53.0,45,0.8444444444444444,False,False,False,True,True,True
072,S1,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,1,medio,2024,34.0,45,0.8444444444444444,False,False,True,True,True,True
072,S1,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,1,medio,2024,43.0,45,0.8444444444444444,False,False,False,False,False,False
