estudiante_id_ofuscado,codigo_curso,nombre_curso,periodo_academico,orden_periodo,seccion,semestre_pensum,area_academica,tipo_curso_configurado,requiere_laboratorio,componente_practico,curso_obligatorio,curso_base,curso_bloqueante,cantidad_cursos_dependientes,nivel_bloqueo_curricular,cohorte_ingreso,zona_ordinaria,nota_examen_ordinario,nota_total_ordinario,resultado_ordinario,tiene_ordinario,tiene_primera_recuperacion,tiene_segunda_recuperacion,tiene_equivalencia,tiene_nsp,nota_total_final,resultado_final,tiene_resultado_final,aprobo_ordinario,necesito_recuperacion,aprobo_por_recuperacion,perdida_definitiva,perdida_definitiva_sin_nsp,estado_asignacion,es_desasignado,fecha_asignacion,fecha_desasignacion,cupo_ofertado_oferta,estudiantes_asignados_oferta,estudiantes_con_nota_oferta,tasa_ocupacion_cupo,curso_aperturado,curso_cancelado,jornada,horario,modalidad,curso_abierto_periodo_siguiente,curso_abierto_siguiente_periodo,periodo_siguiente_cronologico,curso_abierto_en_periodo_posterior_2024,periodo_posterior_disponible_2024,espera_minima_periodos_2024,sin_oferta_posterior_2024,riesgo_retraso_simple,riesgo_retraso_curricular,riesgo_retraso_potencial,riesgo_retraso_potencial_amplio
286fa7de-31f8-56c1-8023-d8120c448dc4,028,Social Humanistica 1,S1,1,D,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,Si,1,medio,2024,46.0,4.0,50.0,Reprobado,True,True,False,False,False,50.0,Reprobado,True,False,True,False,True,True,con nota,False,2024-01-28,,20,2,2,0.1,Si,No,,,presencial,False,False,V1,False,,,True,True,True,True,True
d31f1530-eb29-5bdd-b1a8-a3ae4c08702f,028,Social Humanistica 1,S1,1,D,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,Si,1,medio,2024,52.0,26.0,78.0,Aprobado,True,False,False,False,False,78.0,Aprobado,True,True,False,False,False,False,con nota,False,2024-01-27,,20,2,2,0.1,Si,No,,,presencial,False,False,V1,False,,,True,False,False,False,False
00951361-bee7-5343-85b9-b2de39c38298,028,Social Humanistica 1,S1,1,E,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,Si,1,medio,2024,49.0,21.0,70.0,Aprobado,True,False,False,False,False,70.0,Aprobado,True,True,False,False,False,False,con nota,False,2024-01-26,,20,9,9,0.45,Si,No,vespertina,13:40-14:30,presencial,False,False,V1,False,,,True,False,False,False,False
421e5b33-6bf8-5c14-a03b-3a4e6da333e6,028,Social Humanistica 1,S1,1,E,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,Si,1,medio,2024,37.0,25.0,62.0,Aprobado,True,False,False,False,False,62.0,Aprobado,True,True,False,False,False,False,con nota,False,2024-01-17,,20,9,9,0.45,Si,No,vespertina,13:40-14:30,presencial,False,False,V1,False,,,True,False,False,False,False
76c382db-d59f-56da-9b78-fa2341e8a839,028,Social Humanistica 1,S1,1,E,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,Si,1,medio,2024,40.0,27.0,67.0,Aprobado,True,False,False,False,False,67.0,Aprobado,True,True,False,False,False,False,con nota,False,2024-01-28,,20,9,9,0.45,Si,No,vespertina,13:40-14:30,presencial,False,False,V1,False,,,True,False,False,False,False
79e7db35-50f0-5599-a41c-31b243f13720,028,Social Humanistica 1,S1,1,E,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,Si,1,medio,2024,58.0,22.0,80.0,Aprobado,True,False,False,False,False,80.0,Aprobado,True,True,False,False,False,False,con nota,False,2024-01-23,,20,9,9,0.45,Si,No,vespertina,13:40-14:30,presencial,False,False,V1,False,,,True,False,False,False,False
898ef159-1bc5-50f4-a839-8a6328ead4e2,028,Social Humanistica 1,S1,1,E,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,Si,1,medio,2024,50.0,9.0,59.0,Reprobado,True,False,False,False,False,59.0,Reprobado,True,False,False,False,True,True,con nota,False,2024-01-16,,20,9,9,0.45,Si,No,vespertina,13:40-14:30,presencial,False,False,V1,False,,,True,True,True,True,True
aa0e548f-62ee-554b-83fc-7eb4613cf4ff,028,Social Humanistica 1,S1,1,E,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,Si,1,medio,2024,50.0,5.0,55.0,Reprobado,True,True,False,False,False,61.0,Aprobado,True,False,True,True,False,False,con nota,False,2024-01-15,,20,9,9,0.45,Si,No,vespertina,13:40-14:30,presencial,False,False,V1,False,,,True,False,False,False,False
be370c13-7be9-54a5-89bb-4bdce7fb2e43,028,Social Humanistica 1,S1,1,E,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,Si,1,medio,2024,54.0,16.0,70.0,Aprobado,True,False,False,False,False,70.0,Aprobado,True,True,False,False,False,False,con nota,False,2024-01-26,,20,9,9,0.45,Si,No,vespertina,13:40-14:30,presencial,False,False,V1,False,,,True,False,False,False,False
dda7d84e-c79a-5f19-b8d1-4090f3239620,028,Social Humanistica 1,S1,1,E,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,Si,1,medio,2024,63.0,29.0,92.0,Aprobado,True,False,False,False,False,92.0,Aprobado,True,True,False,False,False,False,con nota,False,2024-01-24,,20,9,9,0.45,Si,No,vespertina,13:40-14:30,presencial,False,False,V1,False,,,True,False,False,False,False
fb399764-8cce-535f-a2de-db636fb7aac4,028,Social Humanistica 1,S1,1,E,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,Si,1,medio,2024,49.0,8.0,57.0,Reprobado,True,False,False,False,False,57.0,Reprobado,True,False,False,False,True,True,con nota,False,2024-01-19,,20,9,9,0.45,Si,No,vespertina,13:40-14:30,presencial,False,False,V1,False,,,True,True,True,True,True
9b21c50e-3681-517b-af9a-5d043499cb27,028,Social Humanistica 1,S1,1,F,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,Si,1,medio,2024,48.0,28.0,76.0,Aprobado,True,False,False,False,False,76.0,Aprobado,True,True,False,False,False,False,con nota,False,2024-01-23,,20,4,4,0.2,Si,No,matutina,8:00-8:50,presencial,False,False,V1,False,,,True,False,False,False,False
d3fc7fce-8bb1-5b8f-a4d5-58e2ef066b24,028,Social Humanistica 1,S1,1,F,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,Si,1,medio,2024,55.0,6.0,61.0,Aprobado,True,False,False,False,False,61.0,Aprobado,True,True,False,False,False,False,con nota,False,2024-01-25,,20,4,4,0.2,Si,No,matutina,8:00-8:50,presencial,False,False,V1,False,,,True,False,False,False,False
e1e5ddb0-f781-58a0-8ee3-0398d09b2498,028,Social Humanistica 1,S1,1,F,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,Si,1,medio,2024,57.0,14.0,71.0,Aprobado,True,False,False,False,False,71.0,Aprobado,True,True,False,False,False,False,con nota,False,2024-01-28,,20,4,4,0.2,Si,No,matutina,8:00-8:50,presencial,False,False,V1,False,,,True,False,False,False,False
f23552cd-6876-5561-b470-73e7c5e2bebe,028,Social Humanistica 1,S1,1,F,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,Si,1,medio,2024,35.0,20.0,55.0,Reprobado,True,True,True,False,False,55.0,Reprobado,True,False,True,False,True,True,con nota,False,2024-01-29,,20,4,4,0.2,Si,No,matutina,8:00-8:50,presencial,False,False,V1,False,,,True,True,True,True,True
