periodo_academico,codigo_curso,seccion,registros_originales,nombre_curso_valores,cupo_ofertado_valores,estudiantes_asignados_valores,estudiantes_con_nota_valores,jornada_valores,horario_valores,salon_valores,modalidad_valores,fecha_inicio_valores,fecha_fin_valores,metodo_match_valores,observaciones_valores,criterio_resolucion
S1,177,A,2,Deportes 1,20,3,3,matutina,8:00-8:50; 8:50-9:40; 9:40-10:30; 11:20-12:10; 10:30-11:20,Cancha Deportiva,presencial,2024-01-22,2024-05-03,codigo_pdf,docente omitido por contaminacion de texto de horario en extraccion PDF,Se consolido por periodo_academico + codigo_curso + seccion; se concatenaron franjas/atributos textuales y se conservaron maximos numericos.
S2,169,B,2,Matematica Basica 1,30,22,22,vespertina,17:00-17:50; 17:50-18:40,11,presencial,2024-07-15,2024-10-30/2024-10-31,codigo_pdf,docente omitido por contaminacion de texto de horario en extraccion PDF,Se consolido por periodo_academico + codigo_curso + seccion; se concatenaron franjas/atributos textuales y se conservaron maximos numericos.
S2,290,C,2,Matematica Intermedia 1,45,35,33,vespertina; nocturna,17:50-18:40; 18:40-19:30,13,presencial,2024-07-15,2024-10-30/2024-10-31,codigo_pdf,docente omitido por contaminacion de texto de horario en extraccion PDF,Se consolido por periodo_academico + codigo_curso + seccion; se concatenaron franjas/atributos textuales y se conservaron maximos numericos.
S2,290,D,2,Matematica Intermedia 1,20,8,7,vespertina,15:20-16:10; 16:10-17:00,13,presencial,2024-07-15,2024-10-30/2024-10-31,codigo_pdf,docente omitido por contaminacion de texto de horario en extraccion PDF,Se consolido por periodo_academico + codigo_curso + seccion; se concatenaron franjas/atributos textuales y se conservaron maximos numericos.
V1,169,A,2,Matematica Basica 1,30,22,22,vespertina,13:00-15:00; 15:00-17:00,13,presencial,2024-06-01,2024-06-30,nombre_html,Coincidencia por nombre desde horario de vacaciones; score=1.00; Coincidencia por nombre desde horario de vacaciones; score=0.94,Se consolido por periodo_academico + codigo_curso + seccion; se concatenaron franjas/atributos textuales y se conservaron maximos numericos.
