estudiante_id_ofuscado,anio_academico,periodo_inscripcion,codigo_carrera,nombre_carrera,pensum,cohorte_ingreso
c83f656f-fd8a-563a-85fd-9a8f9539d381,2024,S1,58,Ciencias y Sistemas,2016-58,2018
d0cf7e89-3fc9-5ac9-94b2-1ba5d480cdb1,2024,S1,58,Ciencias y Sistemas,2016-58,2018
d18b43dd-fa9f-5af3-b2cd-507f5315f597,2024,S1,58,Ciencias y Sistemas,2016-58,2018
dc5309eb-e2ec-550a-bb50-7b1eaa7753c1,2024,S1,58,Ciencias y Sistemas,2016-58,2018
e16aed93-afaf-5a41-92f3-2102a9e70a59,2024,S1,58,Ciencias y Sistemas,2016-58,2018
e3e96b5f-57f6-51ec-9525-aea706ce36ab,2024,S1,58,Ciencias y Sistemas,2016-58,2018
e3f06cc9-e450-5211-aaa7-d1e490dfed18,2024,S1,58,Ciencias y Sistemas,2016-58,2018
f9b10102-89c3-5064-a304-8531633168cb,2024,S1,58,Ciencias y Sistemas,2016-58,2018
02d73083-ab69-51c4-805a-720d97598b43,2024,S1,58,Ciencias y Sistemas,2016-58,2019
07470beb-65dd-5cb9-93ad-8e0c1eeac0af,2024,S1,58,Ciencias y Sistemas,2016-58,2019
083bb1b4-e24d-5c3f-8e22-efe135144eab,2024,S1,58,Ciencias y Sistemas,2016-58,2019
0a553b8b-585d-50fd-b997-aa6f114ffaf6,2024,S1,58,Ciencias y Sistemas,2016-58,2019
1181881d-1271-5070-9d47-c66a61743477,2024,S1,58,Ciencias y Sistemas,2016-58,2019
1587f2c9-f709-503c-823b-a76643566a8a,2024,S1,58,Ciencias y Sistemas,2016-58,2019
179e6d0b-0f6d-5db7-ae97-4827e95151e3,2024,S1,58,Ciencias y Sistemas,2016-58,2019
1897479b-0001-5b54-8174-3d9f7027208e,2024,S1,58,Ciencias y Sistemas,2016-58,2019
2076888d-44fb-51ad-853e-2a03767511fb,2024,S1,58,Ciencias y Sistemas,2016-58,2019
23455a52-fc04-5d1e-8036-f6ee1f915a9f,2024,S1,58,Ciencias y Sistemas,2016-58,2019
26570c68-dd6f-5886-82c0-578576c73a75,2024,S1,58,Ciencias y Sistemas,2016-58,2019
31c0d36d-c8d2-5f54-8576-179c5db0d849,2024,S1,58,Ciencias y Sistemas,2016-58,2019
3c2c4fbc-7f21-5721-bc92-0f59b1e1f8d6,2024,S1,58,Ciencias y Sistemas,2016-58,2019
3ee3a6fb-19aa-5fd3-b450-9391da6bb00d,2024,S1,58,Ciencias y Sistemas,2016-58,2019
4584c801-494c-5583-86d6-fd81cc3948f1,2024,S1,58,Ciencias y Sistemas,2016-58,2019
480dcf0f-fef3-5445-b5eb-829165c7cc0b,2024,S1,58,Ciencias y Sistemas,2016-58,2019
4e6aef50-363b-5386-b2b8-157a02fbe4a3,2024,S1,58,Ciencias y Sistemas,2016-58,2019
56a5ce3c-8d0b-51a5-940f-f3e91b040fcc,2024,S1,58,Ciencias y Sistemas,2016-58,2019
669100b3-1f67-5fba-a327-0a05d6585aa0,2024,S1,58,Ciencias y Sistemas,2016-58,2019
67097a2e-ec94-5b33-922f-1153b12e7e95,2024,S1,58,Ciencias y Sistemas,2016-58,2019
68d355f1-6155-5bf7-a1f7-df1e2af2313a,2024,S1,58,Ciencias y Sistemas,2016-58,2019
711782c3-1186-5101-9ae9-158e08315c56,2024,S1,58,Ciencias y Sistemas,2016-58,2019
74d80850-b8d9-55f0-ba5d-6ac148969f1e,2024,S1,58,Ciencias y Sistemas,2016-58,2019
80fd2144-9a50-53ec-86c3-7660cc3a92ca,2024,S1,58,Ciencias y Sistemas,2016-58,2019
8298176e-e71a-5857-80de-ca69ed9e9bb4,2024,S1,58,Ciencias y Sistemas,2016-58,2019
9d8b757f-00fd-55fc-b60c-74804ea267b7,2024,S1,58,Ciencias y Sistemas,2016-58,2019
a069913d-2dd9-5940-ae5c-c8d6c78649f4,2024,S1,58,Ciencias y Sistemas,2016-58,2019
aad6201b-f416-55be-a19b-4d06d2c15135,2024,S1,58,Ciencias y Sistemas,2016-58,2019
ab47b9b9-e7d4-5c8e-8d97-06cca3dfb8db,2024,S1,58,Ciencias y Sistemas,2016-58,2019
aff46efa-3185-503c-a500-ffd7602ad3dc,2024,S1,58,Ciencias y Sistemas,2016-58,2019
b1bffc04-aba8-54c6-9172-ea17f1483e9a,2024,S1,58,Ciencias y Sistemas,2016-58,2019
b6f67e91-3fbc-5e3c-9701-7f82ed8816ec,2024,S1,58,Ciencias y Sistemas,2016-58,2019
c536f584-6511-5834-9001-81b90ae09a0a,2024,S1,58,Ciencias y Sistemas,2016-58,2019
d59271aa-80c7-5dac-9158-b805a029afa6,2024,S1,58,Ciencias y Sistemas,2016-58,2019
