codigo_curso,nombre_curso,semestre_pensum,area_academica,curso_base,curso_bloqueante,cantidad_cursos_dependientes,nivel_bloqueo_curricular,abierto_S1,abierto_V1,abierto_S2,abierto_V2,cantidad_periodos_abierto,indice_continuidad_oferta,patron_oferta,total_estudiantes_asignados_2024,total_estudiantes_con_nota_2024,total_perdida_definitiva_2024,total_recuperacion_2024,tasa_perdida_definitiva_2024,tasa_recuperacion_2024,estudiantes_sin_oportunidad_inmediata_2024,estudiantes_en_riesgo_retraso_curricular_2024,tasa_ocupacion_promedio_2024,grupo_area,estudiantes_con_acta_ordinaria,perdida_definitiva,estudiantes_recuperacion,aprobados_recuperacion,estudiantes_en_riesgo_retraso_curricular,curso_etiqueta,tasa_perdida_definitiva,tasa_recuperacion,rank_criticidad_descriptiva
2666,Orientacion y Liderazgo,1,Ciencias Basicas y Complementarias,No,No,0,bajo,True,False,True,False,2,0.5,oferta_semestral,30.0,30.0,9.0,7.0,0.3,0.2333333333333333,9.0,0.0,0.35,Area comun,30.0,9.0,7.0,1.0,0.0,2666 - Orientacion y Liderazgo,0.3,0.23333333333333334,4.5
28,Social Humanistica 1,1,Ciencias Basicas y Complementarias,No,Si,1,medio,True,False,False,False,1,0.25,oferta_unica,25.0,25.0,8.0,6.0,0.32,0.24,8.0,8.0,0.2083333333333333,Area comun,25.0,8.0,6.0,1.0,8.0,28 - Social Humanistica 1,0.32,0.24,6.0
94,Ecologia,5,Ciencias Basicas y Complementarias,No,Si,1,medio,True,True,True,True,4,1.0,oferta_continua,26.0,25.0,8.0,3.0,0.32,0.12,2.0,2.0,0.325,Area comun,25.0,8.0,3.0,1.0,2.0,94 - Ecologia,0.32,0.12,0.0
674,Matematica Aplicada 3,5,Ciencias Basicas y Complementarias,No,Si,1,medio,True,True,True,False,3,0.75,oferta_continua,28.0,27.0,8.0,6.0,0.2962962962962963,0.2222222222222222,3.0,3.0,0.4666666666666666,Area comun,27.0,8.0,6.0,2.0,3.0,674 - Matematica Aplicada 3,0.2962962962962963,0.2222222222222222,2.0
29,Social Humanistica 2,2,Ciencias Basicas y Complementarias,Si,Si,2,medio,False,False,True,False,1,0.25,oferta_unica,35.0,32.0,8.0,6.0,0.25,0.1875,8.0,8.0,0.4375,Area comun,32.0,8.0,6.0,3.0,8.0,29 - Social Humanistica 2,0.25,0.1875,6.0
2837,Seminario de Investigacion,10,Ciencias Basicas y Complementarias,No,No,0,bajo,False,True,True,False,2,0.5,oferta_mixta,21.0,20.0,7.0,3.0,0.35,0.15,4.0,0.0,0.525,Area comun,20.0,7.0,3.0,1.0,0.0,2837 - Seminario de Investigacion,0.35,0.15,3.5
694,Contabilidad 1,5,Ciencias Basicas y Complementarias,No,Si,1,medio,True,False,True,True,3,0.75,oferta_continua,25.0,25.0,7.0,4.0,0.28,0.16,5.0,5.0,0.4166666666666667,Area comun,25.0,7.0,4.0,2.0,5.0,694 - Contabilidad 1,0.28,0.16,1.7500000000000002
909,Preparacion y Evaluacion de Proyectos 1,10,Ciencias Basicas y Complementarias,No,No,0,bajo,True,True,False,True,3,0.75,oferta_continua,20.0,19.0,6.0,2.0,0.3157894736842105,0.1052631578947368,4.0,0.0,0.3333333333333333,Area comun,19.0,6.0,2.0,1.0,0.0,909 - Preparacion y Evaluacion de Proyectos 1,0.3157894736842105,0.10526315789473684,1.5
919,Contabilidad 3,7,Ciencias Basicas y Complementarias,No,No,0,bajo,True,False,True,False,2,0.5,oferta_semestral,14.0,12.0,4.0,0.0,0.3333333333333333,0.0,4.0,0.0,0.35,Area comun,12.0,4.0,0.0,0.0,0.0,919 - Contabilidad 3,0.3333333333333333,0.0,2.0
670,Ingenieria Electrica 1,6,Ciencias Basicas y Complementarias,No,No,0,bajo,True,False,True,False,2,0.5,oferta_semestral,18.0,18.0,4.0,3.0,0.2222222222222222,0.1666666666666666,4.0,0.0,0.45,Area comun,18.0,4.0,3.0,2.0,0.0,670 - Ingenieria Electrica 1,0.2222222222222222,0.16666666666666666,2.0
178,Deportes 2,2,Ciencias Basicas y Complementarias,No,No,0,bajo,False,False,True,False,1,0.25,oferta_unica,10.0,9.0,3.0,2.0,0.3333333333333333,0.2222222222222222,3.0,0.0,0.1666666666666666,Area comun,9.0,3.0,2.0,0.0,0.0,178 - Deportes 2,0.3333333333333333,0.2222222222222222,2.25
177,Deportes 1,1,Ciencias Basicas y Complementarias,No,Si,1,medio,True,False,False,False,1,0.25,oferta_unica,11.0,11.0,3.0,0.0,0.2727272727272727,0.0,3.0,3.0,0.1375,Area comun,11.0,3.0,0.0,0.0,3.0,177 - Deportes 1,0.2727272727272727,0.0,2.25
2570,Etica Profesional,9,Ciencias Basicas y Complementarias,No,No,0,bajo,False,False,True,False,1,0.25,oferta_unica,12.0,11.0,3.0,1.0,0.2727272727272727,0.0909090909090909,3.0,0.0,0.6,Area comun,11.0,3.0,1.0,1.0,0.0,2570 - Etica Profesional,0.2727272727272727,0.09090909090909091,2.25
912,Planeamiento,10,Ciencias Basicas y Complementarias,No,No,0,bajo,True,True,True,True,4,1.0,oferta_continua,13.0,13.0,3.0,1.0,0.2307692307692307,0.0769230769230769,1.0,0.0,0.1625,Area comun,13.0,3.0,1.0,0.0,0.0,912 - Planeamiento,0.23076923076923078,0.07692307692307693,0.0
77,Filosofia de la Ciencia,5,Ciencias Basicas y Complementarias,No,No,0,bajo,True,False,False,False,1,0.25,oferta_unica,18.0,15.0,3.0,4.0,0.2,0.2666666666666666,3.0,0.0,0.6,Area comun,15.0,3.0,4.0,2.0,0.0,77 - Filosofia de la Ciencia,0.2,0.26666666666666666,2.2500000000000004
779,Contabilidad 2,6,Ciencias Basicas y Complementarias,No,Si,1,medio,True,False,True,False,2,0.5,oferta_semestral,4.0,4.0,1.0,1.0,0.25,0.25,1.0,1.0,0.1,Area comun,4.0,1.0,1.0,0.0,1.0,779 - Contabilidad 2,0.25,0.25,0.5
2792,Idioma Tecnico 1,1,Ciencias Basicas y Complementarias,No,Si,1,medio,False,False,False,False,0,0.0,sin_oferta_2024,0.0,0.0,0.0,0.0,,,0.0,0.0,,Area comun,0.0,0.0,0.0,0.0,0.0,2792 - Idioma Tecnico 1,,,0.0
2793,Idioma Tecnico 2,2,Ciencias Basicas y Complementarias,No,Si,1,medio,False,False,False,False,0,0.0,sin_oferta_2024,0.0,0.0,0.0,0.0,,,0.0,0.0,,Area comun,0.0,0.0,0.0,0.0,0.0,2793 - Idioma Tecnico 2,,,0.0
2794,Idioma Tecnico 3,3,Ciencias Basicas y Complementarias,No,Si,1,medio,False,False,False,False,0,0.0,sin_oferta_2024,0.0,0.0,0.0,0.0,,,0.0,0.0,,Area comun,0.0,0.0,0.0,0.0,0.0,2794 - Idioma Tecnico 3,,,0.0
2801,Idioma Tecnico 4,4,Ciencias Basicas y Complementarias,No,No,0,bajo,False,False,False,False,0,0.0,sin_oferta_2024,0.0,0.0,0.0,0.0,,,0.0,0.0,,Area comun,0.0,0.0,0.0,0.0,0.0,2801 - Idioma Tecnico 4,,,0.0
2806,Principios De Metrologia,5,Ciencias Basicas y Complementarias,No,No,0,bajo,False,False,False,False,0,0.0,sin_oferta_2024,0.0,0.0,0.0,0.0,,,0.0,0.0,,Area comun,0.0,0.0,0.0,0.0,0.0,2806 - Principios De Metrologia,,,0.0
904,Matematica Aplicada 2,6,Ciencias Basicas y Complementarias,No,No,0,bajo,False,False,False,False,0,0.0,sin_oferta_2024,0.0,0.0,0.0,0.0,,,0.0,0.0,,Area comun,0.0,0.0,0.0,0.0,0.0,904 - Matematica Aplicada 2,,,0.0
905,Matematica Aplicada 4,6,Ciencias Basicas y Complementarias,No,No,0,bajo,False,False,False,False,0,0.0,sin_oferta_2024,0.0,0.0,0.0,0.0,,,0.0,0.0,,Area comun,0.0,0.0,0.0,0.0,0.0,905 - Matematica Aplicada 4,,,0.0
2670,Gestion de Desastres,6,Ciencias Basicas y Complementarias,No,No,0,bajo,False,False,False,False,0,0.0,sin_oferta_2024,0.0,0.0,0.0,0.0,,,0.0,0.0,,Area comun,0.0,0.0,0.0,0.0,0.0,2670 - Gestion de Desastres,,,0.0
922,Ingenieria Economica 2,9,Ciencias Basicas y Complementarias,No,No,0,bajo,False,False,False,False,0,0.0,sin_oferta_2024,0.0,0.0,0.0,0.0,,,0.0,0.0,,Area comun,0.0,0.0,0.0,0.0,0.0,922 - Ingenieria Economica 2,,,0.0
2672,Introduccion a la Evaluacion de Impacto Ambiental,9,Ciencias Basicas y Complementarias,No,No,0,bajo,False,False,False,False,0,0.0,sin_oferta_2024,0.0,0.0,0.0,0.0,,,0.0,0.0,,Area comun,0.0,0.0,0.0,0.0,0.0,2672 - Introduccion a la Evaluacion de Impacto Ambiental,,,0.0
2842,Seminario de Investigacion EPS,10,Ciencias Basicas y Complementarias,No,No,0,bajo,False,False,False,False,0,0.0,sin_oferta_2024,0.0,0.0,0.0,0.0,,,0.0,0.0,,Area comun,0.0,0.0,0.0,0.0,0.0,2842 - Seminario de Investigacion EPS,,,0.0
