grupo_area,perdidas_definitivas,perdidas_con_oferta_posterior_2024,recursamientos_observables,recursamientos_con_resultado,aprobaciones_posteriores,perdidas_sin_oferta_posterior_2024,tasa_perdidas_con_oferta_posterior,tasa_perdidas_sin_oferta_posterior,tasa_recursamiento_observable,tasa_aprobacion_al_recursar,tasa_aprobacion_posterior_sobre_perdidas
Area comun,435,343,333,333,203,92,0.7885057471264367,0.21149425287356322,0.7655172413793103,0.6096096096096096,0.4666666666666667
Area profesional,319,88,85,85,39,231,0.27586206896551724,0.7241379310344828,0.2664576802507837,0.4588235294117647,0.12225705329153605
