antecedente,consecuente,tamano_antecedente,tamano_consecuente,soporte,confianza,lift,soporte_antecedente,soporte_consecuente,leverage,consecuente_relevante
semestre_3,bloqueo_alto,1,1,0.13132795304475423,0.6370106761565836,2.542446710399483,0.20616287600880412,0.2505502567865004,0.07967379152090491,False
curso_obligatorio + semestre_3,bloqueo_alto,2,1,0.13132795304475423,0.6370106761565836,2.542446710399483,0.20616287600880412,0.2505502567865004,0.07967379152090491,False
curso_no_obligatorio + no_abierto_siguiente,curso_no_base,2,1,0.07703595011005136,0.9633027522935781,2.5347136126952643,0.07997065297138664,0.38004402054292,0.04664358162936297,False
bloqueo_alto + no_abierto_siguiente,requiere_laboratorio,2,1,0.07740278796771827,0.6413373860182371,2.5191436805269656,0.1206896551724138,0.2545854732208364,0.04667695499278973,False
area_ciencias_basicas_y_complementarias + periodo_v1,abierto_siguiente,2,1,0.07997065297138664,0.9775784753363228,2.4928708360774707,0.0818048422597212,0.3921496698459281,0.047890911087438745,False
semestre_3 + sin_riesgo_retraso,bloqueo_alto,2,1,0.10528246515040351,0.6239130434782608,2.4901712394168944,0.16874541452677916,0.2505502567865004,0.06300325820917455,False
curso_obligatorio + periodo_v1,abierto_siguiente,2,1,0.08033749082905356,0.9733333333333333,2.4820455254131586,0.08253851797505503,0.3921496698459281,0.04797003825556353,False
semestre_3 + sin_recuperacion,bloqueo_alto,2,1,0.09941305942773294,0.620137299771167,2.475101433640119,0.1603081438004402,0.2505502567865004,0.05924781283356542,False
area_desarrollo_de_software + curso_base,bloqueo_alto,2,1,0.06676449009537784,0.619047619047619,2.4707522833437907,0.1078503301540719,0.2505502567865004,0.03974256218076628,False
aprobo + semestre_3,bloqueo_alto,2,1,0.0851063829787234,0.6170212765957447,2.4626647144948755,0.13793103448275862,0.2505502567865004,0.05054772687024059,False
aprobo + periodo_v1,abierto_siguiente,2,1,0.05429200293470286,0.961038961038961,2.4506943010217097,0.05649303008070433,0.3921496698459281,0.032138279839958574,False
periodo_v1,abierto_siguiente,1,1,0.08730741012472487,0.9558232931726908,2.437394104011932,0.09134262655906089,0.3921496698459281,0.05148742927672924,False
periodo_v1 + sin_recuperacion,abierto_siguiente,2,1,0.08730741012472487,0.9558232931726908,2.437394104011932,0.09134262655906089,0.3921496698459281,0.05148742927672924,False
periodo_v1 + sin_riesgo_retraso,abierto_siguiente,2,1,0.08730741012472487,0.9558232931726908,2.437394104011932,0.09134262655906089,0.3921496698459281,0.05148742927672924,False
area_desarrollo_de_software + no_abierto_siguiente,requiere_laboratorio,2,1,0.0719002201027146,0.6202531645569621,2.4363258308102,0.11592076302274394,0.2545854732208364,0.0423884777924489,False
area_desarrollo_de_software + curso_base,requiere_laboratorio,2,1,0.06676449009537784,0.619047619047619,2.4315905036366128,0.1078503301540719,0.2545854732208364,0.03930736275608,False
no_requiere_laboratorio + periodo_v1,abierto_siguiente,2,1,0.07373440939104915,0.9481132075471697,2.4177330250454485,0.07776962582538519,0.3921496698459281,0.04323707629958299,False
no_abierto_siguiente + semestre_3,bloqueo_alto,2,1,0.061995597945708,0.6035714285714285,2.4089834762601963,0.10271460014673514,0.2505502567865004,0.036260428503220796,False
curso_no_obligatorio + ocupacion_baja,curso_no_base,2,1,0.05722670579603815,0.9017341040462427,2.3727096212645344,0.06346294937637564,0.38004402054292,0.03310799135952855,False
